tweetDate,content,twitterProfile,tweetUrl,timestamp,query,parsed_tweetDate,date_only
Thu Jul 23 13:03:12 +0000 2020,#صرخات_أحلام تنكأ جراح النساء .. وقفة احتجاجية في #الأردن ومطالبات بتعديل القوانين والتشريعات https://t.co/hoxsOSOZPg #العربية,https://twitter.com/AlArabiya,https://twitter.com/AlArabiya/status/1286285737915297794,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-23 13:03:12+00:00,2020-07-23
Thu Jul 23 19:19:36 +0000 2020,"Jordanian women have been protesting for a while, for their own rights and in #solidarity with other #Arab women. Sad that yesterday was so shocking to some when the women's movement in #Jordan has such a long #HISTORY Let's teach some #HISTORY to fix this. #صرخات_أحلام",https://twitter.com/KarimanMango,https://twitter.com/KarimanMango/status/1286380460906631173,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-23 19:19:36+00:00,2020-07-23
Thu Oct 08 07:17:07 +0000 2020,"لا نسمع #صرخات_أحلام ، ولا نسمع #صوت_أحلام .. وكل ما يقال بانه ديموقراطية أضغاث أحلام..

#عرين_القاضي #أحلام_التميمي_صوتك_عالي #أحلام_التميمي #صرخات_احلام",https://twitter.com/areenalqadi89,https://twitter.com/areenalqadi89/status/1314102508164349953,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-10-08 07:17:07+00:00,2020-10-08
Wed Jul 22 17:54:20 +0000 2020,هسا هاد دفاعكم عن قضية احلام؟ يلعنكم ما اوسخكم كيف استغليتوا قضية المغدوره احلام واستغليتوا ثورة #صرخات_احلام  عشان تبثوا سمومكم الوسخه 🤮,https://twitter.com/fatsobatynatso,https://twitter.com/fatsobatynatso/status/1285996617506725894,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-22 17:54:20+00:00,2020-07-22
Tue Jul 28 15:58:53 +0000 2020,"After woman's brutal killing by her father, #Jordan asks at what price 'honor'? #صرخات_احلام https://t.co/OSdOTpYlHo",https://twitter.com/nabihbulos,https://twitter.com/nabihbulos/status/1288141890588737538,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-28 15:58:53+00:00,2020-07-28
Mon Aug 10 06:49:16 +0000 2020,"وخلي الجحوش اللي عنا يفهموا هالحكي
#صرخات_احلام #صرخات_الاردنيات #صرخات #الاردن",https://twitter.com/othoth,https://twitter.com/othoth/status/1292714616867479552,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-08-10 06:49:16+00:00,2020-08-10
Sun Jan 31 06:57:29 +0000 2021,"جريمتا عنف أسري انتهت واحدة بوفاة شابة ضربا وأخرى ما تزال تعيش على أجهزة التنفس الاصطناعي
 أبرز ما يميز هاتين الجريمتين هو ظهورهما في البداية كأنها وفاة طبيعية أو حادث عرضي ليتبين لاحقا انها جريمة
#طفح_الكيل
#بنت_مستشفى_الجامعة 
#جريمة_ماركا 
#صرخات_احلام
#عيون_فاطمة",https://twitter.com/nadinenimri,https://twitter.com/nadinenimri/status/1355772173902868483,2025-04-08T12:22:36.390Z,#صرخات_احلام,2021-01-31 06:57:29+00:00,2021-01-31
Fri Jul 24 03:45:14 +0000 2020,"هل تذكرون هذا التاق #صرخات_احلام
اتضح ان الفتاة كانت نصرانية
ودخلت في دين الإسلام .. فقتلها أبوها
بل ويشرب الشاي عند جثتها !!
وقبلها #بتول_حداد اسلمت فقتلها أبوها

لذلك تراجعت النسويات عن نصرتها
ولم يتحدث الليبراليين عن تطرف النصارى !!

رحم الله اختنا أحلام وأختنا بتول ..",https://twitter.com/twhedsnh,https://twitter.com/twhedsnh/status/1286507707487473667,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-24 03:45:14+00:00,2020-07-24
Wed Jul 29 16:36:21 +0000 2020,"باز هم قتل یک دختر به دست پدرش. این بار در اردن و اعتراضات وسیع.
#صرخات_اردنيات 
#صرخات_احلام 
#اوقفوا_قتل_النساء
#قتل_ناموسی",https://twitter.com/avayezan,https://twitter.com/avayezan/status/1288513705622351874,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-29 16:36:21+00:00,2020-07-29
Fri Jul 31 14:55:05 +0000 2020,"تشاهدون على الرابط أدناه حلقة خاصة من برنامج #هي_الحدث عن قتل النساء على خلفية جريمة #الأردن الأخيرة
#صرخات_احلام
#صرخات_الاردنيات
#صرخة_احلام
#هي24
#ممنوع24 
#صرخات_النساء
@SocietyF24
@France24_ar
@ThameenKh
https://t.co/FGT7oBerl5",https://twitter.com/mayssalounF24,https://twitter.com/mayssalounF24/status/1289212997919838209,2025-04-08T12:22:36.390Z,#صرخات_احلام,2020-07-31 14:55:05+00:00,2020-07-31
